Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points
10,tanner Dahman,5.0,8.0,5.0,17.0,0.176,0.0,4.0,5.0,0.0,1.0,1.0,4.0,0.0,0.0,15.0
20,casey Goss,5.0,12.0,6.0,27.0,0.222,0.0,2.0,3.0,0.0,6.0,0.0,3.0,0.0,0.0,15.5
15,cal Iwinski,5.0,13.0,3.0,21.0,0.476,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,16.0
17,jason Kougan,5.0,11.0,4.0,20.0,0.35,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,16.0
9,aaron Marrs,5.0,7.0,7.0,25.0,0.0,1.0,1.0,2.0,0.0,8.0,0.0,2.0,0.0,0.0,9.0
3,owen Morrow,5.0,1.0,0.0,16.0,0.063,47.0,1.0,3.0,0.0,10.0,0.0,3.0,0.0,0.0,3.5
2,ryan Barnett,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
11,jaeden Concepcion,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,jarod Hesse,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
16,david Valdez,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,tyler Vrska,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,noy Fisher,5.0,4.0,2.0,9.0,0.222,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,5.5
10,tennessee Fulks,5.0,10.0,5.0,28.0,0.179,1.0,0.0,4.0,1.0,5.0,0.0,2.0,0.0,0.0,11.0
23,colby Hurdle,5.0,4.0,1.0,6.0,0.5,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,6.5
7,colton Jeffrey,5.0,19.0,5.0,33.0,0.424,4.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,20.0
9,ethan Makishima,5.0,4.0,2.0,8.0,0.25,1.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,8.0
24,leo Tuncer,5.0,6.0,5.0,25.0,0.04,15.0,0.0,3.0,0.0,5.0,0.0,2.0,0.0,0.0,7.0
13,mohan Duvvuri,5.0,0.0,0.0,2.0,0.0,22.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
11,riley Norman,5.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
1,zachary Thompson,5.0,6.0,3.0,12.0,0.25,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0
