Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
19,percy Bickford,2.0,4.0,2.0,9.0,0.222,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,4.5,Home
6,phillip Bone,3.0,5.0,3.0,12.0,0.167,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,5.5,Home
3,tyler Hoke,3.0,3.0,1.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Home
29,nathan Lancia,3.0,4.0,2.0,10.0,0.2,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,5.5,Home
20,louden Moran,3.0,1.0,1.0,4.0,0.0,22.0,2.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,4.5,Home
8,christopher Varseveld,2.0,3.0,1.0,6.0,0.333,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,5.0,Home
15,connor Feulner,2.0,6.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,Home
5,phu-quy Ho,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,Home
17,sebastian Huyke,2.0,1.0,0.0,2.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Home
16,jesse Knuckles,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Home
10,colin Nikc,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Home
30,hunter Schmidt,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Home
18,koby Sherman,2.0,6.0,0.0,7.0,0.857,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,Home
11,carver Weirick,1.0,0.0,1.0,3.0,-0.333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Home
20,grayson Andrews,3.0,0.0,0.0,3.0,0.0,16.0,2.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,3.0,Visitor
24,hayden Kerekes,2.0,3.0,1.0,12.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.5,Visitor
16,luke Morris,3.0,0.0,1.0,2.0,-0.5,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Visitor
10,devon Robinson,3.0,5.0,5.0,14.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,5.0,Visitor
26,camden Schulte,2.0,2.0,5.0,9.0,-0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Visitor
30,will Wright,3.0,1.0,4.0,12.0,-0.25,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,Visitor
11,nickolas Blose,2.0,0.0,2.0,2.0,-1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Visitor
