Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Wentworth,Tyler Jack,1,21,6,13,0.62,2,21,.524,0,0.00,11,0.52,6,0.29,28,2,0,3,3,0.14,25.5,1.2
Wentworth,Antonio Marino,2,3,1,0,0.00,0,0,-,0,0.00,0,0.00,2,0.67,0,0,0,0,0,0.00,0.0,0.0
Wentworth,Mekhi Burns,3,4,2,0,0.00,0,0,-,1,0.25,0,0.00,4,1.00,22,1,0,0,0,0.00,0.0,0.0
Wentworth,Brayden Green,4,3,1,1,0.33,1,5,.000,28,9.33,0,0.00,2,0.67,0,0,0,1,1,0.33,1.5,0.5
Wentworth,Nicolai Bell,6,10,4,15,1.50,8,36,.194,0,0.00,2,0.20,3,0.30,0,0,1,12,13,1.30,24.0,2.4
Wentworth,Alek Reymond,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wentworth,Matt Beaudry,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wentworth,Sam Etter,9,18,5,36,2.00,20,82,.195,2,0.11,1,0.06,20,1.11,76,4,1,7,8,0.44,41.5,2.3
Wentworth,Mason Andrade,10,18,5,0,0.00,0,1,.000,2,0.11,0,0.00,37,2.06,114,6,0,0,0,0.00,0.0,0.0
Wentworth,Jacob LaBouliere,11,16,5,69,4.31,16,142,.373,5,0.31,6,0.38,27,1.69,70,0,0,9,9,0.56,79.5,5.0
Wentworth,Conner Foxwell,12,15,4,30,2.00,6,44,.545,1,0.07,0,0.00,3,0.20,0,0,5,8,13,0.87,39.0,2.6
Wentworth,Josh Milke,13,20,6,7,0.35,1,18,.333,187,9.35,2,0.10,18,0.90,1,0,0,9,9,0.45,13.5,0.7
Wentworth,Nick Cebula,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wentworth,Jeremy Macek,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wentworth,Anthony Krzykowski,17,4,2,0,0.00,0,0,-,1,0.25,1,0.25,0,0.00,0,0,0,0,0,0.00,1.0,0.3
Wentworth,Gabe Tucker,18,3,1,7,2.33,4,17,.176,0,0.00,0,0.00,2,0.67,0,0,0,0,0,0.00,7.0,2.3
Wentworth,Matthew Zegowitz,19,3,1,3,1.00,1,5,.400,0,0.00,0,0.00,1,0.33,0,0,0,5,5,1.67,5.5,1.8
Wentworth,Jacob Waga,21,20,6,36,1.80,27,103,.087,4,0.20,9,0.45,26,1.30,2,0,2,11,13,0.65,52.5,2.6
Wentworth,Brandon Dunz,23,15,4,18,1.20,8,35,.286,2,0.13,10,0.67,9,0.60,0,0,2,18,20,1.33,39.0,2.6
Wentworth,Ryan Roller,24,16,6,23,1.44,7,41,.390,2,0.13,9,0.56,3,0.19,37,3,0,1,1,0.06,32.5,2.0
Wentworth,Benjamin Moughon,25,3,2,0,0.00,0,0,-,0,0.00,0,0.00,2,0.67,0,0,0,0,0,0.00,0.0,0.0
Wentworth,Thomas Smith,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wentworth,Ian Babcock,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wentworth,Alem Dubcak,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lasell,Ben Villa,1,1,1,0,0.00,0,0,-,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00,0.0,0.0
Lasell,Jan Baranowski,2,16,4,33,2.06,6,61,.443,0,0.00,7,0.44,4,0.25,0,0,1,10,11,0.69,46.0,2.9
Lasell,Jasper Schultz,3,18,5,27,1.50,15,70,.171,2,0.11,9,0.50,23,1.28,37,9,0,10,10,0.56,41.0,2.3
Lasell,Brian Mendoza,4,2,1,0,0.00,0,0,-,0,0.00,1,0.50,0,0.00,0,0,0,0,0,0.00,1.0,0.5
Lasell,Ryan Fuller,6,15,5,0,0.00,2,3,-.667,7,0.47,0,0.00,32,2.13,74,6,0,0,0,0.00,0.0,0.0
Lasell,Jesus Garcia,7,19,5,5,0.26,1,15,.267,173,9.11,0,0.00,27,1.42,0,0,0,7,7,0.37,8.5,0.4
Lasell,Bret Debelser,9,2,2,0,0.00,0,1,.000,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00,0.0,0.0
Lasell,Rande Monahan,10,1,1,0,0.00,0,0,-,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00,0.0,0.0
Lasell,Brenden Joyce,11,19,5,62,3.26,21,126,.325,4,0.21,6,0.32,25,1.32,86,6,3,9,12,0.63,75.5,4.0
Lasell,Cody Bonilla,12,19,5,0,0.00,0,4,.000,16,0.84,6,0.32,12,0.63,0,0,0,0,0,0.00,6.0,0.3
Lasell,Theo Zaharewicz,14,17,4,45,2.65,19,108,.241,3,0.18,3,0.18,22,1.29,92,9,1,5,6,0.35,51.5,3.0
Lasell,Dexter Thomas,15,13,5,22,1.69,5,36,.472,0,0.00,1,0.08,4,0.31,1,0,0,5,5,0.38,25.5,2.0
Lasell,Aidan Norris,16,8,4,6,0.75,2,15,.267,0,0.00,0,0.00,2,0.25,0,0,0,2,2,0.25,7.0,0.9
Lasell,Cole Esterline,17,1,1,3,3.00,0,3,1.000,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00,3.0,3.0
Lasell,Noah Thetford,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
