Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Wells,Jacob Sehn,2,27,7,7,0.26,5,40,.050,13,0.48,1,0.04,72,2.67,169,9,0,0,0,0.00,8.0,0.3
Wells,Alex Anderson,4,22,6,0,0.00,0,0,-,0,0.00,2,0.09,1,0.05,1,1,0,0,0,0.00,2.0,0.1
Wells,Qulik Evans,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wells,Sean Nemeth,6,16,4,2,0.13,6,16,-.250,1,0.06,6,0.38,23,1.44,0,0,0,2,2,0.13,9.0,0.6
Wells,Isayah Johnson,7,27,7,45,1.67,20,105,.238,1,0.04,0,0.00,10,0.37,3,0,5,8,13,0.48,54.0,2.0
Wells,Confidence Burrowes,8,27,7,65,2.41,36,156,.186,2,0.07,6,0.22,25,0.93,29,5,5,4,9,0.33,78.0,2.9
Wells,Harrison Keena,11,27,7,46,1.70,21,143,.175,3,0.11,2,0.07,53,1.96,183,15,0,1,1,0.04,48.5,1.8
Wells,Connor Garvey,13,27,7,66,2.44,53,234,.056,4,0.15,4,0.15,34,1.26,110,5,3,6,9,0.33,76.0,2.8
Wells,Billy McCrae,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wells,Mason Moon,18,27,7,16,0.59,9,61,.115,199,7.37,8,0.30,55,2.04,2,1,2,3,5,0.19,27.5,1.0
Rivier,Neil Rea,1,14,4,17,1.21,5,37,.324,86,6.14,7,0.50,19,1.36,1,0,0,6,6,0.43,27.0,1.9
Rivier,Kythan Ses,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
