Team,Home/Away,Score Set 1,Score Set 2,Score Set 3,Score Set 4,Score Set 5,Final Score,Stats Availability,Score Set 6
Springfield,Away,,,25,25,25,3,True,
NYU,Home,,,19,18,15,0,True,
Hiram,Away,,,25,25,24,1,True,20
Geneva,Home,,,27,19,26,3,True,25
Mount Union,Away,,,25,25,28,3,True,
Thiel,Home,,,21,20,26,0,True,
Wilkes,Away,,,25,25,25,3,True,
Purchase,Home,,,16,10,14,0,True,
Elms,Away,,,25,18,23,1,True,14
Manhattanville,Home,,,22,25,25,3,True,25
American Int'l,Away,,,25,21,20,1,True,22
Rivier,Home,,,22,25,25,3,True,25
Olivet,Away,,,13,18,21,0,True,
Siena Heights,Home,,,25,25,25,3,True,
CCNY,Away,,,25,25,25,3,True,
Yeshiva,Home,,,23,21,19,0,True,
