Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
5,Jack Centeno,4.0,13.0,7.0,31.0,0.194,2.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,Stevens
6,Peter Gavroff,4.0,16.0,8.0,36.0,0.222,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,18.5,Stevens
7,Juancarlos Henriquez,2.0,2.0,1.0,7.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Stevens
14,Haoxin Hu,4.0,4.0,3.0,8.0,0.125,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Stevens
9,Ryan Oommen,4.0,3.0,0.0,3.0,1.0,41.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,Stevens
2,Ari Osmanaj,4.0,3.0,2.0,8.0,0.125,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,4.5,Stevens
19,Kairos Liang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stevens
3,Jackson Newcomb,3.0,5.0,5.0,13.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,Stevens
16,Argjend Osmanaj,2.0,4.0,2.0,6.0,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Stevens
4,Naoki Tani,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,Stevens
8,Zachary Yao,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stevens
19,Percy Bickford,2.0,3.0,0.0,6.0,0.5,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,5.5,Baruch
15,Connor Feulner,4.0,7.0,0.0,11.0,0.636,1.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,8.5,Baruch
3,Tyler Hoke,1.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,Baruch
29,Nathan Lancia,3.0,9.0,5.0,21.0,0.19,0.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0,0.0,12.0,Baruch
20,Louden Moran,2.0,2.0,0.0,2.0,1.0,16.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,2.5,Baruch
21,Alex Olcott,4.0,6.0,3.0,16.0,0.188,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,Baruch
5,Phu-quy Ho,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Baruch
17,Sebastian Huyke,2.0,2.0,0.0,3.0,0.667,22.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,Baruch
16,Jesse Knuckles,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Baruch
9,Nick Schmidt,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baruch
18,Koby Sherman,3.0,11.0,2.0,15.0,0.6,0.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,13.5,Baruch
8,Christopher Varsevel,3.0,5.0,0.0,7.0,0.714,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,6.5,Baruch
28,ben Albers,3.0,3.0,5.0,18.0,-0.111,1.0,1.0,1.0,2.0,8.0,1.0,1.0,0.0,0.0,5.5,Mt. St. Joseph
11,will Busken,2.0,2.0,2.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,Mt. St. Joseph
21,luke Duncan,2.0,5.0,6.0,13.0,-0.077,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,Mt. St. Joseph
7,caleb Lipscomb,2.0,7.0,2.0,11.0,0.455,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,Mt. St. Joseph
3,dominic Rossi,3.0,8.0,4.0,17.0,0.235,0.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,12.5,Mt. St. Joseph
8,conner Young,3.0,4.0,0.0,6.0,0.667,28.0,3.0,5.0,0.0,9.0,3.0,0.0,0.0,0.0,10.0,Mt. St. Joseph
4,eli Chambers,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,Mt. St. Joseph
30,mason Collver,2.0,5.0,1.0,8.0,0.5,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,Mt. St. Joseph
24,blake Kibler,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Mt. St. Joseph
25,jacob Schurfranz,2.0,5.0,2.0,10.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Mt. St. Joseph
14,tanner Stinnett,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Mt. St. Joseph
10,ryan Bollhauer,3.0,4.0,5.0,11.0,-0.091,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,6.0,Thomas More
7,ben Carmosino,3.0,0.0,1.0,3.0,-0.333,18.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,Thomas More
6,luke Dwire,3.0,5.0,5.0,19.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,Thomas More
2,logan Essen,3.0,7.0,4.0,26.0,0.115,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,Thomas More
13,jude Lewis,3.0,5.0,3.0,21.0,0.095,0.0,0.0,3.0,1.0,4.0,0.0,2.0,0.0,0.0,6.0,Thomas More
19,roger Wilcox,3.0,1.0,1.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,Thomas More
17,nicholas Shellman,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Thomas More
18,benjamin Clendening,4.0,3.0,1.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Lancaster Bible
8,gannon Defrain,4.0,0.0,2.0,12.0,-0.167,33.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.5,Lancaster Bible
15,anthony Depalma,4.0,14.0,0.0,22.0,0.636,1.0,1.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,Lancaster Bible
4,jackson Fehnel,4.0,3.0,0.0,9.0,0.333,0.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,5.5,Lancaster Bible
11,zane Martin,4.0,8.0,1.0,12.0,0.583,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,9.5,Lancaster Bible
13,jared Piontkowski,4.0,11.0,4.0,32.0,0.219,0.0,2.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,13.5,Lancaster Bible
25,matt Albrecht,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Lancaster Bible
5,alex Furlong,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,Lancaster Bible
3,kyle Ganoe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lancaster Bible
7,richie Ragonese,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Lancaster Bible
9,logan Romeika,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lancaster Bible
32,owen String,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lancaster Bible
12,james Walsh,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lancaster Bible
6,hunter Davis,4.0,5.0,1.0,8.0,0.5,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.5,Misericordia
23,dawson Forney,4.0,10.0,3.0,16.0,0.438,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.5,Misericordia
11,christian Herr,4.0,1.0,0.0,12.0,0.083,35.0,2.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,Misericordia
10,dj Omogrosso,4.0,2.0,2.0,7.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,2.5,Misericordia
3,jake Rotelle,4.0,11.0,3.0,28.0,0.286,0.0,0.0,5.0,1.0,5.0,0.0,1.0,0.0,0.0,11.5,Misericordia
24,jordan Yoder,4.0,14.0,11.0,33.0,0.091,0.0,1.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,15.0,Misericordia
2,ben Latham,4.0,1.0,0.0,4.0,0.25,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,Misericordia
21,nicholas Marion,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Misericordia
18,tyler Martin,4.0,0.0,1.0,1.0,-1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Misericordia
7,matthew Franz,5.0,23.0,6.0,51.0,0.333,1.0,1.0,3.0,2.0,5.0,0.0,1.0,0.0,1.0,24.5,Wilson
20,jason Freed,5.0,4.0,0.0,17.0,0.235,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,7.0,Wilson
24,connor O'mealia,5.0,4.0,4.0,19.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,3.0,0.0,2.0,5.5,Wilson
22,austin Plummer,5.0,2.0,5.0,18.0,-0.167,0.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,2.0,4.0,Wilson
12,evan Schmidt,5.0,1.0,2.0,30.0,-0.033,40.0,1.0,1.0,0.0,12.0,0.0,1.0,0.0,0.0,2.5,Wilson
8,andrew Wlodarczyk,5.0,9.0,8.0,35.0,0.029,0.0,3.0,4.0,1.0,11.0,0.0,1.0,0.0,0.0,12.5,Wilson
10,corey Obeldobel,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,Wilson
9,landon Smith,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Wilson
10,saria Alshaikhali,5.0,1.0,3.0,16.0,-0.125,1.0,0.0,2.0,1.0,10.0,0.0,1.0,0.0,0.0,1.5,Mount Aloysius
8,ryan Koontz,5.0,6.0,2.0,24.0,0.167,1.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,7.0,Mount Aloysius
9,jacob Mccoy,5.0,8.0,3.0,23.0,0.217,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,9.5,Mount Aloysius
6,vincent Natale,5.0,0.0,0.0,14.0,0.0,22.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,Mount Aloysius
11,demetrius Simmons,5.0,1.0,2.0,8.0,-0.125,0.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,5.0,Mount Aloysius
12,xavier Webber,5.0,18.0,4.0,41.0,0.341,1.0,1.0,5.0,2.0,12.0,2.0,0.0,0.0,0.0,21.0,Mount Aloysius
2,camden Sterner,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,Mount Aloysius
13,andrew Sviben,5.0,16.0,17.0,50.0,-0.02,20.0,4.0,5.0,1.0,14.0,0.0,2.0,0.0,0.0,21.0,Mount Aloysius
26,Jerry Buno,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Penn St.-Behrend
10,Devin Burns,3.0,0.0,6.0,16.0,-0.375,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Penn St.-Behrend
2,Gabriel Lucena,3.0,1.0,4.0,12.0,-0.25,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,Penn St.-Behrend
15,Elijah Sproull,3.0,5.0,6.0,16.0,-0.062,8.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,7.0,Penn St.-Behrend
21,Devin Tullar,3.0,3.0,1.0,5.0,0.4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,Penn St.-Behrend
25,Jared Wright,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Penn St.-Behrend
11,Luke George,1.0,0.0,1.0,2.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Penn St.-Behrend
3,Anthony Panboon,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,Penn St.-Behrend
7,Jase Stone,1.0,0.0,1.0,3.0,-0.333,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Penn St.-Behrend
5,Elijah Studt,3.0,6.0,2.0,17.0,0.235,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,Penn St.-Behrend
1,Daniel Easly,2.0,5.0,1.0,13.0,0.308,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Houghton
12,Kyle Hoffman,2.0,4.0,2.0,9.0,0.222,1.0,1.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,6.5,Houghton
3,Alex Jackson,3.0,2.0,0.0,2.0,1.0,22.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,2.5,Houghton
18,Lewis Rhodes,3.0,0.0,2.0,6.0,-0.333,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.5,Houghton
10,Kevin Skweres,2.0,3.0,0.0,5.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.5,Houghton
17,Owen Wienczkowski,3.0,9.0,0.0,10.0,0.9,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,12.5,Houghton
19,Andrew Archer,2.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,4.5,Houghton
