Team,Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Opponent
Nazareth,14,andrew Bodensteiner,2.0,4.0,0.0,5.0,0.8,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,SUNY Potsdam
Nazareth,5,aj Burda,3.0,1.0,0.0,1.0,1.0,29.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,SUNY Potsdam
Nazareth,15,nathan Dejoy,3.0,4.0,1.0,11.0,0.273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SUNY Potsdam
Nazareth,16,jake O'sullivan,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,SUNY Potsdam
Nazareth,12,josh Weaver,3.0,9.0,2.0,13.0,0.538,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SUNY Potsdam
Nazareth,4,owen Wickens,3.0,11.0,0.0,15.0,0.733,3.0,3.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,SUNY Potsdam
Nazareth,6,alex Bertino,2.0,2.0,0.0,3.0,0.667,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SUNY Potsdam
Nazareth,8,anthony Caimano,1.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SUNY Potsdam
Nazareth,7,jackson Camblin,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SUNY Potsdam
Nazareth,17,tristan Henderson,1.0,3.0,1.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUNY Potsdam
Nazareth,13,jonathon Jackson,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUNY Potsdam
Nazareth,11,tyler Manchester,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,SUNY Potsdam
Nazareth,2,jack Martin,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,SUNY Potsdam
Nazareth,10,joe Seliger,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUNY Potsdam
