Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Wentworth,Tyler Jack,1,33,10,13,0.39,2,21,.524,0,0.00,17,0.52,10,0.30,28,2,1,3,4,0.12,32.5,1.0
Wentworth,Antonio Marino,2,6,2,0,0.00,0,0,-,5,0.83,0,0.00,8,1.33,9,0,0,0,0,0.00,0.0,0.0
Wentworth,Mekhi Burns,3,9,4,10,1.11,3,17,.412,3,0.33,0,0.00,12,1.33,42,3,1,0,1,0.11,11.0,1.2
Wentworth,Brayden Green,4,5,2,4,0.80,1,12,.250,32,6.40,0,0.00,4,0.80,0,0,0,2,2,0.40,5.0,1.0
Wentworth,Nicolai Bell,6,20,8,33,1.65,9,61,.393,0,0.00,2,0.10,4,0.20,1,0,3,20,23,1.15,48.0,2.4
Wentworth,Alek Reymond,7,4,2,6,1.50,1,8,.625,1,0.25,1,0.25,2,0.50,0,0,0,1,1,0.25,7.5,1.9
Wentworth,Matt Beaudry,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wentworth,Sam Etter,9,23,8,45,1.96,24,105,.200,3,0.13,3,0.13,26,1.13,100,5,1,8,9,0.39,53.0,2.3
Wentworth,Mason Andrade,10,28,9,0,0.00,0,1,.000,9,0.32,0,0.00,62,2.21,150,10,0,0,0,0.00,0.0,0.0
Wentworth,Jacob LaBouliere,11,28,9,131,4.68,22,252,.433,7,0.25,6,0.21,40,1.43,135,3,1,14,15,0.54,145.0,5.2
Wentworth,Conner Foxwell,12,18,6,32,1.78,9,52,.442,2,0.11,0,0.00,3,0.17,0,0,5,9,14,0.78,41.5,2.3
Wentworth,Josh Milke,13,32,10,9,0.28,2,21,.333,328,10.25,4,0.13,28,0.88,1,0,2,15,17,0.53,22.5,0.7
Wentworth,Nick Cebula,15,3,1,3,1.00,2,6,.167,0,0.00,1,0.33,3,1.00,0,0,0,2,2,0.67,5.0,1.7
Wentworth,Jeremy Macek,16,3,1,17,5.67,2,19,.789,1,0.33,2,0.67,7,2.33,11,0,0,0,0,0.00,19.0,6.3
Wentworth,Anthony Krzykowski,17,7,3,3,0.43,2,7,.143,5,0.71,1,0.14,2,0.29,0,0,0,0,0,0.00,4.0,0.6
Wentworth,Gabe Tucker,18,4,2,11,2.75,4,22,.318,1,0.25,0,0.00,4,1.00,0,0,0,0,0,0.00,11.0,2.8
Wentworth,Matthew Zegowitz,19,3,1,3,1.00,1,5,.400,0,0.00,0,0.00,1,0.33,0,0,0,5,5,1.67,5.5,1.8
Wentworth,Jacob Waga,21,32,10,67,2.09,37,162,.185,5,0.16,13,0.41,51,1.59,3,1,3,16,19,0.59,91.0,2.8
Wentworth,Brandon Dunz,23,27,8,41,1.52,12,72,.403,3,0.11,15,0.56,12,0.44,0,0,2,25,27,1.00,70.5,2.6
Wentworth,Ryan Roller,24,29,11,25,0.86,9,48,.333,3,0.10,17,0.59,9,0.31,46,3,0,1,1,0.03,42.5,1.5
Wentworth,Benjamin Moughon,25,13,6,18,1.38,14,52,.077,1,0.08,3,0.23,17,1.31,53,4,0,2,2,0.15,22.0,1.7
Wentworth,Thomas Smith,26,3,1,3,1.00,1,5,.400,28,9.33,2,0.67,4,1.33,0,0,0,1,1,0.33,5.5,1.8
Wentworth,Ian Babcock,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wentworth,Alem Dubcak,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lasell,Ben Villa,1,2,2,0,0.00,0,0,-,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00,0.0,0.0
Lasell,Jan Baranowski,2,30,9,54,1.80,14,102,.392,2,0.07,16,0.53,9,0.30,0,0,4,16,20,0.67,82.0,2.7
Lasell,Jasper Schultz,3,26,8,33,1.27,18,91,.165,3,0.12,9,0.35,27,1.04,67,11,0,10,10,0.38,47.0,1.8
