Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Lasell,Caden Raymond,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lasell,Collin Liedke,2,70,26,1,0.01,1,11,.000,34,0.49,4,0.06,80,1.14,148,8,0,0,0,0.00,5.0,0.1
Lasell,Jasper Schultz,3,66,20,169,2.56,76,417,.223,15,0.23,23,0.35,91,1.38,188,17,3,22,25,0.38,206.0,3.1
Lasell,Noah Thetford,4,20,9,26,1.30,16,68,.147,2,0.10,3,0.15,8,0.40,0,0,1,2,3,0.15,31.0,1.6
Lasell,Ryan Tierney,5,20,11,17,0.85,12,54,.093,5,0.25,7,0.35,14,0.70,41,4,0,2,2,0.10,25.0,1.3
Lasell,Trystan Maloney,6,86,27,34,0.40,11,90,.256,816,9.49,22,0.26,130,1.51,5,1,0,37,37,0.43,74.5,0.9
Lasell,Benjamin Walinjom,7,78,24,179,2.29,79,401,.249,3,0.04,1,0.01,41,0.53,1,0,8,39,47,0.60,207.5,2.7
Lasell,Ben Villa,8,26,9,27,1.04,8,53,.358,2,0.08,3,0.12,20,0.77,0,0,6,17,23,0.88,44.5,1.7
Lasell,Nathaniel Cobuzzi,9,45,21,48,1.07,20,104,.269,0,0.00,4,0.09,12,0.27,4,0,6,19,25,0.56,67.5,1.5
Lasell,Teddy Teraszkiewicz,10,95,28,150,1.58,65,381,.223,10,0.11,23,0.24,131,1.38,315,16,3,11,14,0.15,181.5,1.9
Lasell,Cody Bonilla,12,63,25,17,0.27,5,38,.316,202,3.21,15,0.24,46,0.73,9,1,1,9,10,0.16,37.5,0.6
Lasell,Peyton Walter,13,68,22,16,0.24,6,40,.250,10,0.15,24,0.35,82,1.21,136,6,0,1,1,0.01,40.5,0.6
Lasell,Theo Zaharewicz,14,102,30,388,3.80,101,836,.343,18,0.18,46,0.45,130,1.27,371,28,7,25,32,0.31,453.5,4.4
Lasell,Dexter Thomas,15,64,24,85,1.33,26,184,.321,2,0.03,3,0.05,21,0.33,3,1,7,29,36,0.56,109.5,1.7
Lasell,Aidan Norris,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lasell,Cole Esterline,17,36,15,24,0.67,18,71,.085,2,0.06,3,0.08,4,0.11,1,0,5,24,29,0.81,44.0,1.2
Lasell,Ryan Mesnik,18,81,23,2,0.02,2,7,.000,60,0.74,0,0.00,197,2.43,483,29,0,0,0,0.00,2.0,0.0
Lasell,Carter Phillips,20,50,18,53,1.06,19,116,.293,1,0.02,2,0.04,11,0.22,1,1,9,36,45,0.90,82.0,1.6
Lasell,Remy Cahalan,22,23,14,17,0.74,10,39,.179,1,0.04,9,0.39,21,0.91,32,2,0,0,0,0.00,26.0,1.1
Lasell,Jordan Shinaut,23,14,4,43,3.07,9,85,.400,1,0.07,3,0.21,19,1.36,1,0,1,4,5,0.36,49.0,3.5
Lasell,Nathan Carter,24,17,6,0,0.00,0,0,-,4,0.24,0,0.00,3,0.18,66,9,0,0,0,0.00,0.0,0.0
Juniata,Gugu Del Toro,1,4,4,0,0.00,0,0,-,0,0.00,1,0.25,1,0.25,2,0,0,0,0,0.00,1.0,0.3
Juniata,Peter Carioto,2,80,27,0,0.00,0,2,.000,27,0.34,0,0.00,97,1.21,11,0,0,0,0,0.00,0.0,0.0
Juniata,Juan Armando,3,94,28,278,2.96,118,591,.271,29,0.31,16,0.17,154,1.64,355,17,7,23,30,0.32,312.5,3.3
Juniata,Dante Palombo,4,47,17,59,1.26,11,108,.444,2,0.04,2,0.04,5,0.11,2,1,7,17,24,0.51,76.5,1.6
Juniata,Tyler Goldsborough,5,70,22,217,3.10,85,408,.324,15,0.21,36,0.51,121,1.73,394,16,7,14,21,0.30,267.0,3.8
Juniata,Grant Lorelli,6,109,34,66,0.61,8,121,.479,557,5.11,4,0.04,33,0.30,1,1,15,55,70,0.64,112.5,1.0
Juniata,Will Sierer,7,104,32,6,0.06,1,16,.313,635,6.11,23,0.22,113,1.09,2,0,2,1,3,0.03,31.5,0.3
Juniata,Chris Mellor,8,70,21,121,1.73,20,218,.463,2,0.03,0,0.00,13,0.19,4,0,6,52,58,0.83,153.0,2.2
Juniata,Tyler Phillips,9,66,23,175,2.65,84,426,.214,6,0.09,19,0.29,88,1.33,5,3,3,32,35,0.53,213.0,3.2
Juniata,Felix Baier,10,4,4,2,0.50,5,8,-.375,0,0.00,0,0.00,1,0.25,6,0,0,1,1,0.25,2.5,0.6
Juniata,Jeremiah Burden,11,103,31,1,0.01,0,3,.333,47,0.46,0,0.00,109,1.06,554,15,0,0,0,0.00,1.0,0.0
Juniata,Octavian Sperry,12,42,16,90,2.14,34,204,.275,3,0.07,9,0.21,53,1.26,170,9,3,10,13,0.31,107.0,2.5
Juniata,Andrew Perhamus,13,62,23,0,0.00,0,1,.000,8,0.13,6,0.10,27,0.44,4,0,0,0,0,0.00,6.0,0.1
Juniata,Chase Robbins,14,78,26,211,2.71,98,475,.238,13,0.17,15,0.19,117,1.50,252,7,5,18,23,0.29,240.0,3.1
Juniata,Logan Constable,15,10,5,7,0.70,1,13,.462,0,0.00,0,0.00,2,0.20,1,0,0,6,6,0.60,10.0,1.0
