Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
St Joes LI,Mark Williams,16,87,29,272,3.13,115,621,.253,24,0.28,46,0.53,130,1.49,399,27,14,30,44,0.51,347.0,4.0
St Joes LI,Jason Koehler,03,94,30,32,0.34,4,52,.538,5,0.05,31,0.33,32,0.34,2,0,0,6,6,0.06,66.0,0.7
St Joes LI,Luke MacPherson,07,83,27,171,2.06,77,426,.221,21,0.25,26,0.31,140,1.69,446,23,7,14,21,0.25,211.0,2.5
St Joes LI,Mike Golaszeki,17,32,16,56,1.75,13,92,.467,8,0.25,23,0.72,17,0.53,0,0,5,12,17,0.53,90.0,2.8
St Joes LI,Jason Siriban,18,93,30,22,0.24,9,48,.271,2,0.02,19,0.20,31,0.33,31,0,1,2,3,0.03,43.0,0.5
St Joes LI,Tyler Anderson,24,85,29,242,2.85,79,570,.286,11,0.13,16,0.19,146,1.72,1,0,17,39,56,0.66,294.5,3.5
St Joes LI,CJ Johnson,13,87,28,72,0.83,14,144,.403,827,9.51,16,0.18,130,1.49,2,1,7,34,41,0.47,112.0,1.3
St Joes LI,Dominic Ruggiero,12,23,12,10,0.43,0,22,.455,194,8.43,15,0.65,26,1.13,0,0,0,4,4,0.17,27.0,1.2
St Joes LI,Denis O'Donoghue,14,17,10,12,0.71,12,37,.000,3,0.18,6,0.35,17,1.00,1,0,0,0,0,0.00,18.0,1.1
St Joes LI,Robert Kohlmann,04,15,9,2,0.13,4,10,-.200,5,0.33,5,0.33,16,1.07,17,3,0,1,1,0.07,7.5,0.5
St Joes LI,Logan Meyer,11,32,15,67,2.09,15,140,.371,6,0.19,5,0.16,45,1.41,63,1,1,1,2,0.06,73.5,2.3
St Joes LI,Anthony Vicari,08,17,10,5,0.29,2,13,.231,3,0.18,5,0.29,14,0.82,33,2,0,0,0,0.00,10.0,0.6
St Joes LI,Matthew Dolan,22,21,12,45,2.14,6,70,.557,0,0.00,2,0.10,6,0.29,18,1,2,10,12,0.57,54.0,2.6
St Joes LI,Will Loeven,15,19,9,25,1.32,11,56,.250,1,0.05,1,0.05,3,0.16,0,0,2,9,11,0.58,32.5,1.7
St Joes LI,Connor Ruais,02,85,28,1,0.01,3,8,-.250,22,0.26,1,0.01,89,1.05,495,28,0,0,0,0.00,2.0,0.0
St Joes LI,Chris Sarnicola,09,36,21,1,0.03,2,7,-.143,7,0.19,1,0.03,38,1.06,51,3,0,0,0,0.00,2.0,0.1
St Joes LI,Quinn Foglia,20,85,28,141,1.66,28,262,.431,4,0.05,0,0.00,9,0.11,2,0,15,41,56,0.66,176.5,2.1
St Joes LI,Joe Pinner,10,68,26,0,0.00,0,0,-,7,0.10,0,0.00,78,1.15,22,0,0,0,0,0.00,0.0,0.0
St Joes LI,Pat Stevenson,05,71,25,74,1.04,36,188,.202,4,0.06,0,0.00,11,0.15,3,1,16,53,69,0.97,116.5,1.6
St Joes Brooklyn,Jahin Sadique,3,42,13,4,0.10,10,25,-.240,20,0.48,7,0.17,52,1.24,8,5,1,3,4,0.10,13.5,0.3
St Joes Brooklyn,Leonel Bravo,4,72,20,9,0.13,11,44,-.045,20,0.28,2,0.03,255,3.54,526,59,0,0,0,0.00,11.0,0.2
St Joes Brooklyn,Keiran McMullan,5,46,19,0,0.00,6,8,-.750,0,0.00,3,0.07,30,0.65,84,24,0,0,0,0.00,3.0,0.1
St Joes Brooklyn,Arturo Franco,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
St Joes Brooklyn,Lordnel Saint-Jean,7,70,20,36,0.51,55,243,-.078,5,0.07,8,0.11,95,1.36,241,33,1,6,7,0.10,48.0,0.7
St Joes Brooklyn,Frank Tello,8,72,20,121,1.68,75,439,.105,3,0.04,13,0.18,72,1.00,39,10,12,16,28,0.39,154.0,2.1
St Joes Brooklyn,Alejandro Oliveros,9,69,19,19,0.28,20,135,-.007,359,5.20,15,0.22,118,1.71,59,9,3,10,13,0.19,42.0,0.6
St Joes Brooklyn,Frank Arevalo,10,72,20,64,0.89,58,281,.021,5,0.07,6,0.08,80,1.11,18,2,3,16,19,0.26,81.0,1.1
St Joes Brooklyn,Levin Ma,11,63,20,9,0.14,13,49,-.082,29,0.46,9,0.14,31,0.49,2,0,5,8,13,0.21,27.0,0.4
St Joes Brooklyn,Alex Helfant,14,72,20,235,3.26,151,891,.094,5,0.07,20,0.28,217,3.01,431,24,2,3,5,0.07,258.5,3.6
