Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set
Rutgers Newark,Tuohy Justin,2,68,18,116,1.71,56,279,.215,174,2.56,18,0.26,101,1.49,13,253,3,16,19.0,0.28
Rutgers Newark,Chernyshov Pavlo,4,7,4,1,0.14,6,9,-.556,0,0.00,3,0.43,3,0.43,2,13,0,0,0,0.00
Rutgers Newark,Singh Jasjeet,5,22,10,7,0.32,8,22,-.045,1,0.05,7,0.32,12,0.55,4,46,1,3,4.0,0.18
Rutgers Newark,Spring Sean,6,13,7,10,0.77,5,20,.250,3,0.23,2,0.15,12,0.92,6,58,0,0,0,0.00
Rutgers Newark,Hollenbach Eric,7,46,12,44,0.96,25,128,.148,1,0.02,7,0.15,10,0.22,0,1,4,26,30.0,0.65
Rutgers Newark,Nikishin Matt,8,86,23,0,0.00,0,3,.000,41,0.48,0,0.00,232,2.70,9,438,0,0,0,0.00
Rutgers Newark,Ledesma Josh,9,75,22,68,0.91,63,215,.023,12,0.16,5,0.07,85,1.13,30,341,4,15,19.0,0.25
Rutgers Newark,Gomes Yann,10,18,8,0,0.00,0,0,0,1,0.06,1,0.06,14,0.78,5,21,0,0,0,0.00
Rutgers Newark,Apito Aidan,11,42,15,49,1.17,39,140,.071,3,0.07,5,0.12,50,1.19,14,225,0,11,11.0,0.26
Rutgers Newark,Zaleck Andrew,12,79,21,360,4.56,143,752,.289,10,0.13,31,0.39,108,1.37,0,1,6,41,47.0,0.59
Rutgers Newark,Boulin Alex,13,11,6,6,0.55,6,19,.000,1,0.09,1,0.09,2,0.18,0,1,1,2,3.0,0.27
Rutgers Newark,Au Derek,14,76,22,40,0.53,12,114,.246,670,8.82,8,0.11,87,1.14,1,3,1,24,25.0,0.33
Rutgers Newark,Chromulak Martin,17,66,19,124,1.88,62,274,.226,7,0.11,27,0.41,25,0.38,6,97,4,41,45.0,0.68
Rutgers Newark,Quay Daniel,21,87,23,177,2.03,40,362,.378,2,0.02,19,0.22,45,0.52,0,6,21,63,84.0,0.97
Southern Virginia,Bianchin Kristo,1,74,21,95,1.28,48,227,.207,7,0.09,4,0.05,40,0.54,1,19,7,59,66.0,0.89
Southern Virginia,Stringam Bryce,3,2,2,0,0.00,0,0,0,5,2.50,0,0.00,0,0.00,0,0,0,0,0,0.00
Southern Virginia,Brown Jeremy,4,79,22,199,2.52,79,422,.284,10,0.13,31,0.39,110,1.39,18,423,7,19,26.0,0.33
Southern Virginia,Kimball Mateo,5,4,4,1,0.25,1,4,.000,1,0.25,1,0.25,0,0.00,0,6,1,0,1.0,0.25
Southern Virginia,Madsen Justin,6,80,22,0,0.00,3,15,-.200,37,0.46,0,0.00,210,2.63,13,362,0,0,0,0.00
Southern Virginia,Walker McKay,7,44,14,99,2.25,25,187,.396,2,0.05,6,0.14,29,0.66,0,2,6,28,34.0,0.77
Southern Virginia,10,10,8,2,3,0.38,3,11,.000,74,9.25,3,0.38,9,1.13,0,1,0,1,1.0,0.13
Southern Virginia,Sheaffer Tyler,10,72,20,36,0.50,13,83,.277,725,10.07,23,0.32,100,1.39,2,3,7,32,39.0,0.54
Southern Virginia,Sheaffer Christian,11,79,22,301,3.81,96,632,.324,17,0.22,40,0.51,99,1.25,9,339,10,39,49.0,0.62
Southern Virginia,Tomlinson Jeffrey,13,23,11,0,0.00,0,1,.000,3,0.13,3,0.13,8,0.35,0,0,0,0,0,0.00
Southern Virginia,Stone Curtis,14,42,16,0,0.00,3,12,-.250,0,0.00,6,0.14,8,0.19,0,1,0,4,4.0,0.10
Southern Virginia,Hall Jayton,15,80,22,115,1.44,43,264,.273,4,0.05,38,0.48,137,1.71,5,56,1,15,16.0,0.20
Southern Virginia,Stokes Connor,17,4,4,0,0.00,0,0,0,0,0.00,1,0.25,0,0.00,0,0,0,0,0,0.00
Southern Virginia,Evans Kyler,18,74,22,92,1.24,34,206,.282,2,0.03,8,0.11,15,0.20,2,2,5,27,32.0,0.43
Southern Virginia,Rasmussen Steve,20,26,12,16,0.62,4,32,.375,0,0.00,1,0.04,3,0.12,0,0,3,12,15.0,0.58
Kean,Garcia Jonathan,1,12,5,0,0.00,0,2,.000,3,0.25,2,0.17,13,1.08,1,14,0,0,0,0.00
Kean,Thompson Maxwell,2,74,21,79,1.07,31,187,.257,9,0.12,13,0.18,24,0.32,0,4,7,54,61.0,0.82
Kean,Naranjo Cris,3,101,27,2,0.02,0,14,.143,63,0.62,0,0.00,273,2.70,30,516,0,1,1.0,0.01
Kean,Frankenfield Luke,5,95,27,110,1.16,57,316,.168,568,5.98,21,0.22,235,2.47,0,7,5,36,41.0,0.43
Kean,Flores David,6,96,28,2,0.02,2,9,.000,195,2.03,11,0.11,73,0.76,0,2,0,1,1.0,0.01
Kean,Freese Jack,7,75,24,140,1.87,55,295,.288,8,0.11,6,0.08,24,0.32,0,4,16,37,53.0,0.71
Kean,Flinn Aidan,9,91,26,112,1.23,77,353,.099,12,0.13,16,0.18,177,1.95,23,433,1,13,14.0,0.15
Kean,Mitchell Chris,12,94,28,239,2.54,128,670,.166,9,0.10,14,0.15,118,1.26,24,446,7,23,30.0,0.32
Kean,Pugliano Danny,15,16,10,15,0.94,8,36,.194,2,0.13,3,0.19,8,0.50,0,0,3,8,11.0,0.69
Kean,Crespo Tristen,17,6,3,1,0.17,0,1,1.000,2,0.33,4,0.67,10,1.67,0,7,0,0,0,0.00
Kean,Meulens Rajheem,19,97,28,221,2.28,108,600,.188,11,0.11,11,0.11,116,1.20,15,380,6,23,29.0,0.30
Kean,DuHaime Andrew,20,25,10,40,1.60,21,115,.165,8,0.32,3,0.12,5,0.20,0,0,0,3,3.0,0.12
Kean,Millias Brandon,23,79,24,71,0.90,48,237,.097,160,2.03,31,0.39,78,0.99,0,1,2,13,15.0,0.19
Kean,Reynolds Stephen,24,38,13,67,1.76,32,176,.199,2,0.05,2,0.05,12,0.32,0,4,0,8,8.0,0.21
Kean,DiCandilo Ryan,26,66,23,52,0.79,23,156,.186,4,0.06,6,0.09,33,0.50,1,6,6,31,37.0,0.56
Marymount,Jauregui Esteban,1,60,18,111,1.85,62,278,.176,10,0.17,14,0.23,56,0.93,18,279,2,9,11.0,0.18
Marymount,Crowder Joseph,4,39,22,0,0.00,0,2,.000,28,0.72,9,0.23,11,0.28,0,2,0,0,0,0.00
Marymount,Peña Diego,5,70,23,162,2.31,69,393,.237,2,0.03,30,0.43,99,1.41,0,0,0,16,16.0,0.23
Marymount,Firman Joshua,7,60,19,2,0.03,2,11,.000,9,0.15,0,0.00,63,1.05,11,224,0,0,0,0.00
Marymount,Jayes Zach,8,27,18,18,0.67,0,29,.621,2,0.07,6,0.22,7,0.26,0,0,0,7,7.0,0.26
Marymount,Robinson Devon,10,89,25,253,2.84,118,619,.218,26,0.29,30,0.34,110,1.24,27,519,10,23,33.0,0.37
Marymount,Blose Nickolas,11,29,18,29,1.00,25,81,.049,4,0.14,4,0.14,9,0.31,7,69,1,2,3.0,0.10
Marymount,Topich Sava,12,52,22,38,0.73,9,74,.392,281,5.40,16,0.31,51,0.98,0,1,2,12,14.0,0.27
Marymount,Nolen Joshua,15,6,3,0,0.00,1,2,-.500,0,0.00,0,0.00,1,0.17,0,0,0,0,0,0.00
Marymount,Morris Luke,16,102,28,62,0.61,39,161,.143,13,0.13,54,0.53,65,0.64,6,100,3,13,16.0,0.16
Marymount,Mariel Nick,17,12,7,5,0.42,1,13,.308,1,0.08,1,0.08,5,0.42,0,7,1,4,5.0,0.42
Marymount,Balash Colin,18,29,15,0,0.00,0,0,0,1,0.03,0,0.00,18,0.62,2,37,0,0,0,0.00
Marymount,Quinlan John,19,13,9,11,0.85,3,19,.421,0,0.00,6,0.46,2,0.15,0,1,0,9,9.0,0.69
Marymount,Andrews Grayson,20,83,26,42,0.51,12,99,.303,657,7.92,15,0.18,131,1.58,0,6,1,24,25.0,0.30
Marymount,Small Landon,22,11,8,13,1.18,4,23,.391,2,0.18,3,0.27,4,0.36,0,1,0,2,2.0,0.18
Marymount,Kerekes Hayden,24,83,23,165,1.99,46,332,.358,4,0.05,19,0.23,41,0.49,0,6,22,47,69.0,0.83
Marymount,Pogue Luke,25,25,16,32,1.28,9,58,.397,2,0.08,1,0.04,3,0.12,2,3,2,13,15.0,0.60
Marymount,Schulte Camden,26,42,16,80,1.90,39,194,.211,6,0.14,8,0.19,47,1.12,0,3,1,10,11.0,0.26
Marymount,Moore Mason,28,89,26,121,1.36,35,224,.384,6,0.07,1,0.01,24,0.27,0,10,22,35,57.0,0.64
Marymount,Wright Will,30,92,26,41,0.45,26,111,.135,36,0.39,4,0.04,166,1.80,26,439,0,3,3.0,0.03
Randolph Macon,Cowart Brooks,1,110,30,1,0.01,1,9,.000,48,0.44,0,0.00,145,1.32,29,736,0,2,2.0,0.02
Randolph Macon,Rutkowski Jackson,1,5,1,10,2.00,6,23,.174,0,0.00,0,0.00,1,0.20,0,0,0,0,0,0.00
Randolph Macon,Kingston Cj,2,5,1,9,1.80,5,33,.121,0,0.00,2,0.40,14,2.80,0,29,0,2,2.0,0.40
Randolph Macon,Rogan Kody,2,92,26,39,0.42,15,87,.276,875,9.51,58,0.63,116,1.26,2,13,0,35,35.0,0.38
Randolph Macon,DeLuca Gio,3,37,10,43,1.16,16,95,.284,4,0.11,1,0.03,4,0.11,0,0,5,32,37.0,1.00
Randolph Macon,Noble Kaeden,3,5,1,1,0.20,0,4,.250,2,0.40,0,0.00,18,3.60,2,28,0,0,0,0.00
Randolph Macon,Luck Davis,4,23,14,18,0.78,13,59,.085,4,0.17,1,0.04,8,0.35,0,0,0,5,5.0,0.22
Randolph Macon,Stevenson Davin,4,5,1,0,0.00,0,1,.000,22,4.40,0,0.00,3,0.60,0,0,0,0,0,0.00
Randolph Macon,Manning James,5,13,6,0,0.00,0,0,0,4,0.31,0,0.00,7,0.54,0,0,0,1,1.0,0.08
Randolph Macon,Lyons Patrick,6,8,5,6,0.75,2,19,.211,0,0.00,0,0.00,5,0.63,0,0,0,4,4.0,0.50
Randolph Macon,House Leo,7,5,1,0,0.00,0,7,.000,23,4.60,1,0.20,6,1.20,0,0,0,0,0,0.00
Randolph Macon,Nguyen Daniel,7,83,26,61,0.73,41,174,.115,7,0.08,36,0.43,64,0.77,5,144,0,8,8.0,0.10
Randolph Macon,Steele Parker,8,4,1,0,0.00,0,0,0,2,0.50,0,0.00,0,0.00,0,2,0,0,0,0.00
Randolph Macon,Terrell Cade,8,20,6,7,0.35,0,11,.636,160,8.00,0,0.00,17,0.85,0,0,0,9,9.0,0.45
Randolph Macon,Carrano Jarrett,9,93,26,276,2.97,106,645,.264,50,0.54,16,0.17,134,1.44,21,430,3,28,31.0,0.33
Randolph Macon,Gibson Kolby,10,99,26,313,3.16,151,697,.232,15,0.15,29,0.29,181,1.83,27,540,7,17,24.0,0.24
Randolph Macon,Cunningham Sean,11,73,20,76,1.04,21,164,.335,3,0.04,0,0.00,8,0.11,1,7,19,44,63.0,0.86
Randolph Macon,Wagenhauser Ian,12,93,25,320,3.44,175,712,.204,2,0.02,36,0.39,103,1.11,4,8,10,48,58.0,0.62
Randolph Macon,Wheaton Dominic,12,5,1,4,0.80,2,11,.182,1,0.20,0,0.00,2,0.40,0,0,1,2,3.0,0.60
