Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions Errors,Receptions,Block Solo,Block Assist,Total Blocks,Blocks/Set
Rutgers,Benjamin Herrington,1,26,10,43,1.65,27,100,.160,2,0.08,7,0.27,25,0.96,6,115,0,10,10.0,0.38
Rutgers,Fernando Paredes,2,79,23,1,0.01,1,8,.000,42,0.53,0,0.00,192,2.43,24,442,0,0,0,0.00
Rutgers,Vincent Lopez,3,75,24,86,1.15,38,207,.232,3,0.04,6,0.08,26,0.35,1,5,2,55,57.0,0.76
Rutgers,Justin Joyce,4,9,6,1,0.11,1,3,.000,24,2.67,0,0.00,3,0.33,1,2,0,1,1.0,0.11
Rutgers,Sean Spring,6,26,14,45,1.73,27,108,.167,4,0.15,7,0.27,25,0.96,6,133,0,4,4.0,0.15
Rutgers,Amir Johnson,7,24,13,19,0.79,6,50,.260,1,0.04,0,0.00,4,0.17,0,1,3,12,15.0,0.63
Rutgers,Evan Jazmin,8,18,8,0,0.00,0,0,0,3,0.17,2,0.11,21,1.17,1,20,0,0,0,0.00
Rutgers,Yann Gomes,10,64,23,0,0.00,0,1,.000,2,0.03,20,0.31,19,0.30,0,0,0,1,1.0,0.02
Rutgers,Aidan Apito,11,56,20,68,1.21,43,183,.137,10,0.18,4,0.07,54,0.96,13,241,2,10,12.0,0.21
Rutgers,Gavin Walker-Mason,12,40,16,0,0.00,0,1,.000,5,0.13,0,0.00,23,0.58,1,104,0,0,0,0.00
Rutgers,Derek Au,14,86,25,80,0.93,31,182,.269,816,9.49,32,0.37,139,1.62,1,5,2,41,43.0,0.50
Rutgers,Juan Silva,15,25,13,33,1.32,22,88,.125,1,0.04,8,0.32,24,0.96,0,0,0,13,13.0,0.52
Rutgers,Aleks Kolodziej,16,77,25,226,2.94,93,546,.244,8,0.10,23,0.30,116,1.51,3,5,1,40,41.0,0.53
Rutgers,Kaden Komine,18,64,21,2,0.03,3,13,-.077,55,0.86,15,0.23,20,0.31,0,0,1,0,1.0,0.02
Rutgers,Alex Solodky,20,40,17,87,2.18,65,219,.100,5,0.13,6,0.15,44,1.10,6,143,0,13,13.0,0.33
Rutgers,Massimo Roco,21,90,26,204,2.27,62,348,.408,5,0.06,27,0.30,27,0.30,2,9,15,73,88.0,0.98
Rutgers,Michael Suarez,23,69,20,207,3.00,119,492,.179,10,0.14,10,0.14,76,1.10,12,368,4,26,30.0,0.43
Southern Virginia,Kristo Bianchin,1,34,14,52,1.53,12,85,.471,5,0.15,7,0.21,22,0.65,0,9,4,17,21.0,0.62
Southern Virginia,Jayton Hall,2,49,22,44,0.90,16,94,.298,6,0.12,14,0.29,42,0.86,0,24,1,4,5.0,0.10
Southern Virginia,Bryce Stringam,3,4,3,1,0.25,0,1,1.000,19,4.75,3,0.75,4,1.00,0,0,1,0,1.0,0.25
Southern Virginia,Gehrig Tolman,4,56,20,37,0.66,8,66,.439,548,9.79,9,0.16,70,1.25,1,3,5,19,24.0,0.43
Southern Virginia,Kimo Hughey,5,5,3,4,0.80,3,10,.100,0,0.00,1,0.20,2,0.40,0,0,0,0,0,0.00
Southern Virginia,Justin Madsen,6,61,21,0,0.00,2,8,-.250,26,0.43,0,0.00,136,2.23,8,257,0,0,0,0.00
Southern Virginia,Mitchell Barney,8,7,5,0,0.00,0,0,0,3,0.43,1,0.14,7,1.00,0,13,0,0,0,0.00
Southern Virginia,Samuel Candland,9,50,18,153,3.06,39,275,.415,9,0.18,28,0.56,79,1.58,1,3,1,17,18.0,0.36
Southern Virginia,Jeremy Brown,10,60,21,148,2.47,46,291,.351,16,0.27,32,0.53,87,1.45,8,265,8,10,18.0,0.30
Southern Virginia,Christian Sheaffer,11,63,21,235,3.73,44,421,.454,21,0.33,49,0.78,79,1.25,5,238,16,42,58.0,0.92
Southern Virginia,Brady Schlensker,13,3,2,2,0.67,0,4,.500,0,0.00,0,0.00,0,0.00,0,0,0,1,1.0,0.33
Southern Virginia,Curtis Stone,14,28,13,21,0.75,6,47,.319,2,0.07,3,0.11,4,0.14,0,1,3,14,17.0,0.61
Southern Virginia,Maxym Sutton,15,45,20,8,0.18,3,21,.238,102,2.27,12,0.27,19,0.42,0,0,0,4,4.0,0.09
Southern Virginia,Isaac Carrillo,17,36,14,7,0.19,1,14,.429,0,0.00,20,0.56,5,0.14,1,12,1,0,1.0,0.03
Southern Virginia,Kyler Evans,18,49,18,81,1.65,18,141,.447,2,0.04,0,0.00,5,0.10,0,5,9,23,32.0,0.65
Southern Virginia,Brady Dastrup,19,10,7,11,1.10,4,22,.318,0,0.00,5,0.50,6,0.60,1,13,1,2,3.0,0.30
Southern Virginia,Jett Hall,20,6,4,0,0.00,0,0,0,2,0.33,6,1.00,1,0.17,0,2,0,0,0,0.00
Southern Virginia,Jason Wang,21,37,18,41,1.11,12,81,.358,0,0.00,0,0.00,7,0.19,0,0,4,30,34.0,0.92
Southern Virginia,Caleb Crowe,22,19,12,0,0.00,0,0,0,0,0.00,2,0.11,7,0.37,1,4,0,0,0,0.00
Kean,Dan St. Foi,1,6,5,9,1.50,2,17,.412,0,0.00,1,0.17,8,1.33,1,14,1,0,1.0,0.17
Kean,Owen String,2,10,7,21,2.10,8,43,.302,1,0.10,0,0.00,2,0.20,0,0,0,1,1.0,0.10
Kean,Jonathan Garcia,3,10,7,0,0.00,1,2,-.500,1,0.10,0,0.00,10,1.00,0,17,0,0,0,0.00
Kean,Michael McSorley,4,46,20,21,0.46,14,88,.080,4,0.09,1,0.02,22,0.48,1,1,1,12,13.0,0.28
