Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set
Immaculata,Mcclernan Brandon,2,42,13,0,0.00,1,2,-.500,2,0.05,1,0.02,19,0.45,12,48,0,0,0,0.00
Immaculata,Carter John,3,35,11,0,0.00,0,9,.000,3,0.09,1,0.03,29,0.83,4,67,0,0,0,0.00
Immaculata,Bohrer John,4,56,16,140,2.50,65,388,.193,12,0.21,28,0.50,88,1.57,18,326,3,1,4.0,0.07
Immaculata,Pepper Garrett,7,59,17,174,2.95,71,467,.221,26,0.44,23,0.39,117,1.98,11,240,8,3,11.0,0.19
Immaculata,Timlin Evan,8,35,16,14,0.40,17,54,-.056,0,0.00,7,0.20,15,0.43,0,11,1,5,6.0,0.17
Immaculata,Fox Brandon,9,62,18,30,0.48,31,122,-.008,4,0.06,5,0.08,39,0.63,0,5,12,8,20.0,0.32
Immaculata,Pfister Matthew,10,70,20,8,0.11,16,64,-.125,15,0.21,3,0.04,140,2.00,28,441,0,0,0,0.00
Immaculata,Dao Steven,11,20,6,39,1.95,7,82,.390,1,0.05,1,0.05,21,1.05,0,0,5,2,7.0,0.35
Immaculata,Debes Jack,12,70,20,122,1.74,46,316,.241,9,0.13,19,0.27,46,0.66,9,91,9,18,27.0,0.39
Immaculata,Martell Joe,13,70,20,60,0.86,15,224,.201,462,6.60,20,0.29,89,1.27,0,16,4,11,15.0,0.21
Immaculata,Pierce Thomas,14,62,19,23,0.37,22,108,.009,5,0.08,4,0.06,21,0.34,1,5,3,13,16.0,0.26
Hood,Stutz Brendan,2,49,15,21,0.43,20,91,.011,5,0.10,5,0.10,30,0.61,23,64,0,6,6.0,0.12
Hood,Bartice Adam,3,73,22,18,0.25,11,108,.065,408,5.59,20,0.27,99,1.36,4,10,1,7,8.0,0.11
Hood,Blanchfield Dan,6,69,21,21,0.30,19,100,.020,3,0.04,9,0.13,64,0.93,35,213,5,18,23.0,0.33
Hood,Fitch Will,7,73,22,20,0.27,29,103,-.087,5,0.07,10,0.14,69,0.95,46,181,0,10,10.0,0.14
Hood,Cleveland Caulten,9,14,6,1,0.07,4,12,-.250,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
Hood,Robin Mari,11,30,10,2,0.07,3,8,-.125,2,0.07,5,0.17,18,0.60,4,7,0,2,2.0,0.07
Hood,Javier Rojas Will,17,62,19,188,3.03,98,559,.161,22,0.35,6,0.10,91,1.47,51,379,7,7,14.0,0.23
Hood,Fitzkee Marc,19,73,22,221,3.03,192,622,.047,15,0.21,24,0.33,130,1.78,55,525,7,4,11.0,0.15
Hood,Odor Russell,20,29,9,22,0.76,19,73,.041,1,0.03,3,0.10,28,0.97,9,44,1,6,7.0,0.24
Baruch,Cheung Wen,1,32,18,0,0.00,2,7,-.286,4,0.13,6,0.19,17,0.53,0,19,0,0,0,0.00
Baruch,Osmanaj Ari,2,42,20,39,0.93,14,84,.298,3,0.07,14,0.33,16,0.38,0,0,6,17,23.0,0.55
Baruch,Ubanwa Andrew,3,84,28,178,2.12,83,437,.217,4,0.05,15,0.18,58,0.69,0,2,4,36,40.0,0.48
Baruch,Tani Naoki,4,84,27,0,0.00,0,2,.000,16,0.19,8,0.10,83,0.99,13,143,0,0,0,0.00
