Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set
Mount Union,Armour Aaron,4,25,7,43,1.72,33,130,.077,8,0.32,7,0.28,55,2.20,5,122,3,1,4.0,0.16
Mount Union,McClure Jack,5,25,7,113,4.52,48,257,.253,9,0.36,19,0.76,34,1.36,13,163,5,2,7.0,0.28
Mount Union,Koszelak Peyton,6,24,7,1,0.04,1,2,.000,11,0.46,0,0.00,71,2.96,6,144,0,0,0,0.00
Mount Union,Heeney Will,7,22,6,20,0.91,3,61,.279,205,9.32,1,0.05,24,1.09,1,4,2,6,8.0,0.36
Mount Union,Bowler Michael,9,22,6,35,1.59,9,68,.382,6,0.27,1,0.05,13,0.59,0,1,8,4,12.0,0.55
Mount Union,Weeg Camden,10,12,3,9,0.75,7,23,.087,1,0.08,1,0.08,7,0.58,0,1,4,4,8.0,0.67
Mount Union,Weeg Cameron,10,13,4,12,0.92,6,28,.214,1,0.08,3,0.23,8,0.62,0,2,6,5,11.0,0.85
Mount Union,Nussdorfer Jacob,11,25,7,59,2.36,25,153,.222,3,0.12,8,0.32,43,1.72,0,1,2,5,7.0,0.28
Mount Union,Kaiser Max,16,7,3,3,0.43,2,7,.143,17,2.43,1,0.14,3,0.43,0,1,0,1,1.0,0.14
Mount Union,Owen Jonathon,24,4,1,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
