Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set
Olivet,Sean Gooden,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olivet,Jackson Arkles,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olivet,Aiden Chamblee,3,7,4,3,0.43,3,11,.000,1,0.14,0,0.00,0,0.00,4,0,0,0,0,0.00
Olivet,Samuel Akapo,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olivet,Deontay Thomas,5,32,9,59,1.84,51,211,.038,11,0.34,6,0.19,67,2.09,138,8,0,5,5,0.16
Olivet,Thayne Bilicki,6,36,13,35,0.97,21,94,.149,2,0.06,0,0.00,8,0.22,5,0,2,13,15,0.42
Olivet,Ke'Shon Johnson,7,27,9,33,1.22,14,100,.190,1,0.04,1,0.04,18,0.67,3,1,0,8,8,0.30
Olivet,Will Mensching,8,46,13,23,0.50,29,121,-.050,21,0.46,1,0.02,95,2.07,214,10,2,3,5,0.11
Olivet,Kai Hartman,9,46,13,80,1.74,46,267,.127,19,0.41,7,0.15,83,1.80,146,6,2,0,2,0.04
Olivet,Quinn Dickerson,10,43,12,124,2.88,41,250,.332,4,0.09,11,0.26,18,0.42,14,0,4,26,30,0.70
Olivet,Tyler Batt,12,29,11,22,0.76,10,67,.179,0,0.00,0,0.00,3,0.10,0,0,4,7,11,0.38
Olivet,Ethan Valente,13,15,5,26,1.73,20,85,.071,2,0.13,3,0.20,5,0.33,7,4,0,0,0,0.00
Olivet,Everett Haynes,14,46,13,35,0.76,25,142,.070,352,7.65,5,0.11,102,2.22,30,6,4,20,24,0.52
Olivet,Quentin Villa,15,2,2,0,0.00,0,1,.000,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
Olivet,Declan Nowakowski,16,6,3,11,1.83,8,30,.100,0,0.00,0,0.00,5,0.83,19,5,0,2,2,0.33
Olivet,Arwin Vang,17,18,7,0,0.00,0,1,.000,0,0.00,2,0.11,4,0.22,0,0,0,0,0,0.00
Olivet,Andy Hok,20,34,12,0,0.00,0,2,.000,0,0.00,1,0.03,14,0.41,14,2,0,0,0,0.00
Olivet,Hayden Germain,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olivet,Matthew Tollar,26,45,13,1,0.02,0,3,.333,8,0.18,5,0.11,55,1.22,150,11,0,0,0,0.00
Fontbonne,Logan Irby,3,32,9,58,1.81,25,152,.217,3,0.09,5,0.16,19,0.59,0,0,9,17,26,0.81
Fontbonne,Charlie Haas,4,4,2,6,1.50,3,18,.167,0,0.00,0,0.00,2,0.50,0,0,1,3,4,1.00
Fontbonne,Lucas Brown,5,28,9,47,1.68,17,116,.259,2,0.07,2,0.07,12,0.43,0,0,2,9,11,0.39
Fontbonne,Alex Gantt,6,32,9,12,0.38,5,73,.096,229,7.16,2,0.06,55,1.72,4,0,1,6,7,0.22
Fontbonne,Tengis Kelley,7,16,9,1,0.06,0,7,.143,52,3.25,2,0.13,24,1.50,0,0,0,0,0,0.00
Fontbonne,Sam McAlister,8,32,9,53,1.66,34,159,.119,7,0.22,6,0.19,51,1.59,175,4,1,4,5,0.16
Fontbonne,Jake Schawo,10,14,8,1,0.07,0,3,.333,0,0.00,1,0.07,8,0.57,21,4,0,0,0,0.00
Fontbonne,Demitrius Allen,12,15,7,17,1.13,13,46,.087,3,0.20,2,0.13,14,0.93,57,0,2,2,4,0.27
Fontbonne,Ian Steinkamp,15,1,1,0,0.00,0,0,-,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
Fontbonne,Ayden Illingworth,18,8,4,15,1.88,5,31,.323,1,0.13,1,0.13,3,0.38,0,0,0,6,6,0.75
Fontbonne,Kyle Snook,19,21,8,1,0.05,0,5,.200,3,0.14,1,0.05,20,0.95,35,1,0,0,0,0.00
Fontbonne,Ryan Rhodes,20,32,9,0,0.00,2,23,-.087,15,0.47,0,0.00,76,2.38,179,9,0,0,0,0.00
Fontbonne,Tyrone Ealy,21,14,7,17,1.21,13,58,.069,1,0.07,1,0.07,4,0.29,1,0,1,5,6,0.43
Fontbonne,Josh Blomberg,23,30,9,44,1.47,20,107,.224,2,0.07,2,0.07,2,0.07,1,0,5,22,27,0.90
Fontbonne,Cameron Graves,35,25,7,65,2.60,32,171,.193,2,0.08,6,0.24,51,2.04,114,1,3,6,9,0.36
Emmanuel Mass,Nick Sciabica,1,29,9,0,0.00,1,1,-1.000,12,0.41,0,0.00,62,2.14,184,19,0,0,0,0.00
Emmanuel Mass,Jared Nardone,2,1,1,0,0.00,0,0,-,0,0.00,0,0.00,5,5.00,6,1,0,0,0,0.00
Emmanuel Mass,Sebastian Rendon,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Emmanuel Mass,Dominic DeFerrari,5,22,7,4,0.18,0,7,.571,183,8.32,3,0.14,28,1.27,2,0,0,6,6,0.27
Emmanuel Mass,Aiden McGowan,6,26,9,15,0.58,5,33,.303,1,0.04,1,0.04,9,0.35,2,1,2,13,15,0.58
Emmanuel Mass,Declan Morrison,7,1,1,2,2.00,0,4,.500,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
Emmanuel Mass,Rob Moore,8,5,4,2,0.40,2,5,.000,0,0.00,0,0.00,1,0.20,0,0,0,5,5,1.00
Emmanuel Mass,Jyles Amirault,9,27,8,30,1.11,22,102,.078,0,0.00,3,0.11,21,0.78,122,12,0,7,7,0.26
Emmanuel Mass,Leonard Kim,10,6,4,0,0.00,0,3,.000,1,0.17,0,0.00,2,0.33,4,1,0,1,1,0.17
Emmanuel Mass,Cayson Branconier,11,1,1,0,0.00,0,0,-,0,0.00,0,0.00,2,2.00,1,0,0,0,0,0.00
Emmanuel Mass,Trey Guest,12,29,9,58,2.00,29,161,.180,4,0.14,10,0.34,40,1.38,5,3,2,13,15,0.52
Emmanuel Mass,Thor Yingling,14,7,4,13,1.86,6,29,.241,1,0.14,1,0.14,4,0.57,21,2,0,1,1,0.14
Emmanuel Mass,Willson Lin,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Emmanuel Mass,Joshua Duncan,16,1,1,1,1.00,1,2,.000,0,0.00,0,0.00,1,1.00,0,0,0,0,0,0.00
Emmanuel Mass,Louis Da Silva,17,29,9,42,1.45,14,86,.326,1,0.03,7,0.24,20,0.69,3,2,7,17,24,0.83
Emmanuel Mass,Maximilian Olsen,18,3,2,6,2.00,2,9,.444,0,0.00,3,1.00,0,0.00,0,0,1,0,1,0.33
Emmanuel Mass,Devon Perelgut,19,2,1,3,1.50,0,5,.600,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
Emmanuel Mass,Quincy Moore,20,8,2,3,0.38,3,11,.000,65,8.13,3,0.38,3,0.38,0,0,1,1,2,0.25
Emmanuel Mass,Carlton Cummings,21,9,5,6,0.67,4,19,.105,1,0.11,4,0.44,6,0.67,13,2,0,2,2,0.22
Emmanuel Mass,Michael Shelley,22,27,9,118,4.37,37,227,.357,0,0.00,14,0.52,35,1.30,153,17,6,10,16,0.59
Emmanuel Mass,Jacob Aronov,24,4,2,0,0.00,0,1,.000,14,3.50,0,0.00,1,0.25,0,0,0,0,0,0.00
Eastern Nazarene,Luis Palacio,1,19,6,20,1.05,13,58,.121,3,0.16,16,0.84,24,1.26,55,2,0,4,4,0.21
Eastern Nazarene,Nathan Caldwell,2,25,8,21,0.84,9,44,.273,2,0.08,4,0.16,15,0.60,71,5,0,1,1,0.04
Eastern Nazarene,Delfy Soler,3,30,9,73,2.43,34,155,.252,5,0.17,13,0.43,40,1.33,121,10,0,2,2,0.07
Eastern Nazarene,Christopher Gil,4,17,6,2,0.12,3,10,-.100,80,4.71,4,0.24,18,1.06,2,0,0,2,2,0.12
Eastern Nazarene,Alejandro Garcia Fernandez,5,24,7,91,3.79,32,191,.309,5,0.21,16,0.67,36,1.50,110,12,1,2,3,0.13
Eastern Nazarene,Aaron Huang,6,29,9,6,0.21,4,24,.083,151,5.21,12,0.41,30,1.03,35,7,1,1,2,0.07
Eastern Nazarene,Matthew Mucha,9,27,8,25,0.93,9,49,.327,7,0.26,6,0.22,17,0.63,15,1,2,5,7,0.26
Eastern Nazarene,Kelly Rwema,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eastern Nazarene,Emerson Teixeira Ramos,12,8,3,0,0.00,3,7,-.429,1,0.13,5,0.63,4,0.50,14,2,0,0,0,0.00
Eastern Nazarene,Ian Pacheco,13,6,2,0,0.00,1,3,-.333,0,0.00,0,0.00,9,1.50,48,5,0,0,0,0.00
Eastern Nazarene,Jacob Lotts,14,19,6,10,0.53,10,32,.000,0,0.00,1,0.05,7,0.37,1,0,0,5,5,0.26
Eastern Nazarene,Jacob Zarges,23,30,9,67,2.23,23,154,.286,37,1.23,28,0.93,43,1.43,1,1,0,6,6,0.20
