Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Bethany,Baylen Loosier,1,,,40,0.71,37,126,.024,139,2.48,11,0.20,53,0.95,6,1,1,6,7,0.13,55.0,1.0
Bethany,Alexander Hall,2,,,36,0.80,30,121,.050,2,0.04,13,0.29,18,0.40,9,1,1,10,11,0.24,55.0,1.2
Bethany,Alexander Blair,5,,,1,0.17,0,3,.333,7,1.17,2,0.33,2,0.33,2,0,0,0,0,0.00,3.0,0.5
Bethany,Cole Thomas,6,,,3,0.04,2,26,.038,30,0.38,0,0.00,148,1.87,481,33,0,0,0,0.00,3.0,0.0
Bethany,Logan Mills,8,,,6,0.09,10,53,-.075,365,5.62,22,0.34,109,1.68,8,1,1,12,13,0.20,35.0,0.5
Bethany,Isiah Heverling,10,,,1,0.08,3,15,-.133,0,0.00,1,0.08,4,0.33,0,0,0,1,1,0.08,2.5,0.2
Bethany,Leonardo Locatelli,11,,,1,0.05,2,12,-.083,1,0.05,0,0.00,3,0.16,43,6,0,0,0,0.00,1.0,0.1
Bethany,McKay Ginez,12,,,91,1.44,55,269,.134,10,0.16,8,0.13,42,0.67,85,11,4,17,21,0.33,111.5,1.8
Bethany,Riley Burdett,13,,,173,2.25,130,464,.093,2,0.03,22,0.29,114,1.48,370,22,0,15,15,0.19,202.5,2.6
Bethany,Tyler Johnson,15,,,87,1.12,71,364,.044,7,0.09,13,0.17,79,1.01,449,24,2,14,16,0.21,109.0,1.4
Bethany,Gavin McAllister,19,,,58,1.09,72,247,-.057,4,0.08,8,0.15,42,0.79,11,0,3,19,22,0.42,78.5,1.5
Bethany,Rylan Trapp,24,,,94,1.19,58,273,.132,5,0.06,19,0.24,28,0.35,4,0,6,43,49,0.62,140.5,1.8
Bethany,Jonathan Morey,25,,,,,,,,,,,,,,,,,,,,,
Bethany,,,,,493,2065,.062,575,7.19,128,1.60,1514,160,23,142,647,8.09,94,1.18,844.0,10.6,,
Bethany,,,,,366,2000,.246,758,9.47,168,2.10,,124,39,229,804,10.05,154,1.92,1180.0,14.8,,
Altoona,Shawn Thomas,1,,,1,0.09,0,1,1.000,7,0.64,0,0.00,1,0.09,1,0,0,0,0,0.00,1.0,0.1
Altoona,Jack McKenna,2,,,180,1.94,81,556,.178,16,0.17,14,0.15,163,1.75,538,31,7,19,26,0.28,210.5,2.3
Altoona,Lucas Petrones,3,,,107,1.78,79,286,.098,9,0.15,12,0.20,76,1.27,227,20,5,7,12,0.20,127.5,2.1
Altoona,Joshua Harclerode,4,,,11,0.34,4,24,.292,1,0.03,6,0.19,8,0.25,14,0,0,1,1,0.03,17.5,0.5
