Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
6,michael Anderson,4.0,0.0,2.0,4.0,-0.5,23.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.5,Home
25,sam Day,3.0,5.0,1.0,14.0,0.286,1.0,0.0,1.0,0.0,11.0,0.0,1.0,0.0,0.0,5.5,Home
1,darius Dorsey-rhule,2.0,6.0,4.0,10.0,0.2,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,Home
10,matt Kilinski,3.0,16.0,1.0,21.0,0.714,0.0,2.0,2.0,0.0,3.0,2.0,4.0,0.0,0.0,22.0,Home
42,cam Mcgarry,3.0,2.0,1.0,7.0,0.143,2.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,3.5,Home
4,duncan Tenhagen,3.0,13.0,3.0,24.0,0.417,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,14.0,Home
8,calum Anderson,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Home
17,benson Jovel-truong,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Home
2,alex Lombardo,2.0,0.0,0.0,0.0,0.0,23.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.5,Home
15,connor Mcgovern,1.0,1.0,0.0,2.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Home
11,sean Murray,2.0,0.0,2.0,6.0,-0.333,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,Home
20,dylan Murray,1.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Home
18,jack Orrange,2.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Home
7,jesse Schwartz,3.0,3.0,2.0,6.0,0.167,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,Home
14,tom Shemik,3.0,1.0,3.0,5.0,-0.4,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,Home
8,confidence Burrowes,4.0,5.0,7.0,20.0,-0.1,0.0,0.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,Visitor
13,connor Garvey,4.0,6.0,5.0,30.0,0.033,1.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,7.0,Visitor
7,isayah Johnson,4.0,4.0,2.0,14.0,0.143,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,Visitor
11,harrison Keena,4.0,12.0,1.0,22.0,0.5,1.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,12.0,Visitor
18,mason Moon,4.0,6.0,1.0,12.0,0.417,24.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0,Visitor
2,jacob Sehn,4.0,4.0,2.0,16.0,0.125,5.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,Visitor
4,alex Anderson,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Visitor
6,michael Anderson,3.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Home
25,sam Day,2.0,1.0,0.0,4.0,0.25,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.5,Home
10,matt Kilinski,3.0,6.0,5.0,13.0,0.077,0.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,9.0,Home
42,cam Mcgarry,3.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,Home
11,sean Murray,3.0,3.0,1.0,9.0,0.222,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,5.5,Home
4,duncan Tenhagen,3.0,2.0,3.0,18.0,-0.056,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,Home
1,darius Dorsey-rhule,2.0,0.0,4.0,11.0,-0.364,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,Home
17,benson Jovel-truong,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Home
2,alex Lombardo,3.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,Home
3,zaire Rogers,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Home
7,jesse Schwartz,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Home
14,tom Shemik,3.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Home
12,zack Farren,3.0,0.0,0.0,1.0,0.0,34.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,Visitor
