Team,Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Opponent
Va. Wesleyan,18,landon Brinkley,4.0,15.0,6.0,30.0,0.3,1.0,2.0,5.0,1.0,8.0,0.0,1.0,0.0,0.0,Roanoke
Va. Wesleyan,16,carlyle Campbell,4.0,4.0,3.0,11.0,0.091,1.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,Roanoke
Va. Wesleyan,4,albie Duvall,2.0,2.0,0.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Roanoke
Va. Wesleyan,1,nicholas Samonte,4.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roanoke
Va. Wesleyan,10,matthew Sheppard,4.0,5.0,10.0,35.0,-0.143,0.0,0.0,4.0,0.0,8.0,0.0,3.0,2.0,0.0,Roanoke
Va. Wesleyan,2,jamarhe Wills,4.0,6.0,7.0,21.0,-0.048,2.0,2.0,2.0,1.0,10.0,0.0,0.0,1.0,0.0,Roanoke
Va. Wesleyan,3,jeremiah Bryant,2.0,0.0,1.0,3.0,-0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Roanoke
Va. Wesleyan,14,patrick Gresham,4.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Roanoke
Va. Wesleyan,9,siah Hall,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,Roanoke
Va. Wesleyan,17,logan Mcconnell,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Roanoke
Va. Wesleyan,12,harrison Merrill,4.0,2.0,1.0,6.0,0.167,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roanoke
Va. Wesleyan,6,aiden Parker,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Roanoke
Va. Wesleyan,7,beckham Rombaoa,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Roanoke
Va. Wesleyan,23,michael Cummins,4.0,17.0,3.0,30.0,0.467,0.0,0.0,6.0,2.0,8.0,1.0,2.0,0.0,0.0,Roanoke
