Team,Player Name,Jersey Number,Height,Weight,Position,Academic Year,Hometown,High School,Club,Bio Link
RutgersNewark,Benjamin Herrington,1,,,,FR,,,,/sports/mens-volleyball/roster/benjamin-herrington/5371
RutgersNewark,Fernando Paredes,2,"5'6""",,L,SR,"Passaic, NJ",Passaic Prep Academy,,/sports/mens-volleyball/roster/fernando-paredes/5364
RutgersNewark,Vincent Lopez,3,"6'3""",,MB,SO,"Fair Lawn, NJ",Fair Lawn,,/sports/mens-volleyball/roster/vincent-lopez/5363
RutgersNewark,Justin Joyce,4,,,,FR,,,,/sports/mens-volleyball/roster/justin-joyce/5374
RutgersNewark,Jayden Reilly,5,,,,FR,,,,/sports/mens-volleyball/roster/jayden-reilly/5368
RutgersNewark,Sean Spring,6,"5'11""",,OH,JR,"East Brunswick, NJ",East Brunswick,,/sports/mens-volleyball/roster/sean-spring/5366
RutgersNewark,Evan Jazmin,8,"5'9""",,DS/L,SO,"Old Bridge, NJ",Old Bridge,,/sports/mens-volleyball/roster/evan-jazmin/5360
RutgersNewark,Yann Gomes,10,"6'2""",,L,JR,"Newark, NJ",Donald M. Payne Sr. School of Technology,,/sports/mens-volleyball/roster/yann-gomes/5359
RutgersNewark,Aidan Apito,11,"6'5""",,OH,SR,"Totowa, NJ",St. Peter's Prep,,/sports/mens-volleyball/roster/aidan-apito/5356
RutgersNewark,Gavin Walker-Mason,12,"5'10""",,L,SO,"Peoria, AZ",Centennial High School,,/sports/mens-volleyball/roster/gavin-walker-mason/5367
RutgersNewark,Derek Au,14,"6'0""",,S,GRD,"Orlando, FL",Timber Creek,,/sports/mens-volleyball/roster/derek-au/5357
RutgersNewark,Juan Silva,15,"6'3""",,MB,JR,"Elizabeth, NJ",Alexander Hamilton Prep Academy,,/sports/mens-volleyball/roster/juan-silva/5365
RutgersNewark,Aleks Kolodziej,16,"6'3""",,OPP,SO,"Old Bridge, NJ",Old Bridge,,/sports/mens-volleyball/roster/aleks-kolodziej/5361
RutgersNewark,Gabriel Correia,17,,,,FR,,,,/sports/mens-volleyball/roster/gabriel-correia/5373
RutgersNewark,Kaden Komine,18,"6'0""",,S,SO,"Kaneohe, HI",Maryknoll High School,,/sports/mens-volleyball/roster/kaden-komine/5362
RutgersNewark,Alex Solodky,20,,,,FR,,,,/sports/mens-volleyball/roster/alex-solodky/5370
RutgersNewark,Massimo Roco,21,,,,FR,,,,/sports/mens-volleyball/roster/massimo-roco/5369
RutgersNewark,Michael Suarez,23,,,,FR,,,,/sports/mens-volleyball/roster/michael-suarez/5372
SouthernVirginia,Kristo Bianchin,1,"6'4""",,OH/MB,Sr.,"Sao Paulo, Brazil",E.E. Vereador Antonio Valdemar Galo,,/sports/mens-volleyball/roster/kristo-bianchin/8197
SouthernVirginia,Jayton Hall,2,"6'5""",,OPP / OH,Sr.,"Queen Creek, AZ",American Leadership Academy,,/sports/mens-volleyball/roster/jayton-hall/8202
SouthernVirginia,Bryce Stringam,3,"6'4""",,S,Jr.,"Fillmore, UT",Millard,,/sports/mens-volleyball/roster/bryce-stringam/8207
SouthernVirginia,Gehrig Tolman,4,,,S,So.,"Gilbert, AZ",Perry,,/sports/mens-volleyball/roster/gehrig-tolman/8209
SouthernVirginia,Kimo Hughey,5,"6'4""",,OPP,So.,"Lehi, UT",Skyridge,,/sports/mens-volleyball/roster/kimo-hughey/8203
SouthernVirginia,Justin Madsen,6,"5'10""",,LB,Sr.,"Las Vegas, NV",Centennial,,/sports/mens-volleyball/roster/justin-madsen/8204
SouthernVirginia,Keanu Calles,7,,,OH / S,Fr.,"Orem, UT",Orem,,/sports/mens-volleyball/roster/keanu-calles/8210
SouthernVirginia,Mitchell Barney,8,,,L,Fr.,"Riverton, UT",Riverton,,/sports/mens-volleyball/roster/mitchell-barney/8211
SouthernVirginia,Samuel Candland,9,"6'5""",,OPP,Sr.,"Carlisle, PA",,,/sports/mens-volleyball/roster/samuel-candland/8199
SouthernVirginia,Jeremy Brown,10,"6'5""",,OH,Sr.,"Mesa, AZ",Highland,,/sports/mens-volleyball/roster/jeremy-brown/8198
SouthernVirginia,Christian Sheaffer,11,"6'6""",,OH,Sr.,"Palmyra, PA",Palmyra,,/sports/mens-volleyball/roster/christian-sheaffer/8205
SouthernVirginia,Brady Schlensker,13,,,MB,Fr.,"Midlothian, VA",Midlothian,,/sports/mens-volleyball/roster/brady-schlensker/8212
SouthernVirginia,Curtis Stone,14,"6'7""",,MB,Sr.,"Gilbert, AZ",,,/sports/mens-volleyball/roster/curtis-stone/8206
SouthernVirginia,Maxym Sutton,15,"6'4""",,S,Sr.,"Mesa, AZ",Heritage,,/sports/mens-volleyball/roster/maxym-sutton/8208
SouthernVirginia,Isaac Carrillo,17,"6'1""",,OH,So.,"Albuquerque, NM",,,/sports/mens-volleyball/roster/isaac-carrillo/8200
SouthernVirginia,Kyler Evans,18,"6'8""",,OPP,Sr.,"Gilbert, AZ",Castle,,/sports/mens-volleyball/roster/kyler-evans/8201
SouthernVirginia,Brady Dastrup,19,,,OH,Fr.,"Colorado Springs, CO",Discovery Canyon,,/sports/mens-volleyball/roster/brady-dastrup/8213
SouthernVirginia,Jett Hall,20,,,L,Fr.,"Queen Creek, AZ",,,/sports/mens-volleyball/roster/jett-hall/8214
SouthernVirginia,Jason Wang,21,"6'7""",,OPP,Fr.,"Virginia Beach, VA",Frank W. Cox,,/sports/mens-volleyball/roster/jason-wang/8215
SouthernVirginia,Caleb Crowe,22,,,L,Fr.,"Houston, TX",Bridgeland,,/sports/mens-volleyball/roster/caleb-crowe/8250
Kean,Tyler Quinn,3,"5'10""",140 lbs,L,Fr.,"Mechanicsburg, Pa.",Cumberland Valley,Yorktowne,/sports/mens-volleyball/roster/tyler-quinn/13187
Kean,Michael McSorley,4,"6'4""",200 lbs,RS,So.,"Colonia, N.J.",Colonia,Warren Sixpack,/sports/mens-volleyball/roster/michael-mcsorley/13180
Kean,Luke Frankenfield,5,"6'4""",195 lbs,S/RS,Gr.,"St. Louis, Mo.",Parkway North,High Performance - St. Louis,/sports/mens-volleyball/roster/luke-frankenfield/13177
Kean,David Flores,6,"5'7""",145 lbs,S,So.,"Parlin, N.J.",Old Bridge,Warren Sixpack,/sports/mens-volleyball/roster/david-flores/13176
Kean,Jack Freese,7,"6'9""",200 lbs,MB,So.,"Hillsborough, N.J.",Hillsborough,CORE Volleyball Club,/sports/mens-volleyball/roster/jack-freese/13185
Kean,Aidan Flinn,8,"6'0""",195 lbs,OH/DS,So.,"East Northport, N.Y.",Northport,LIVBC,/sports/mens-volleyball/roster/aidan-flinn/13175
Kean,Chris Mitchell,12,"6'3""",190 lbs,OH,So.,"Howell, N.J.",Howell,Warren Sixpack,/sports/mens-volleyball/roster/chris-mitchell/13183
