Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Trine,Dylan Klumpp,1,7,6,7,1.00,6,20,.050,1,0.14,1,0.14,2,0.29,7,1,1,0,1,0.14,9.0,1.3
Trine,Hunter Haas,2,83,25,0,0.00,0,9,.000,58,0.70,0,0.00,287,3.46,450,19,0,0,0,0.00,0.0,0.0
Trine,Gage Petrock,3,1,1,0,0.00,0,0,-,0,0.00,0,0.00,0,0.00,-,0,0,0,0,0.00,0.0,0.0
Trine,Nate Unsicker,4,30,15,0,0.00,0,0,-,8,0.27,4,0.13,16,0.53,16,3,0,0,0,0.00,4.0,0.1
Trine,Johnson-Kuhao Ho'okano-Pelekai,5,92,27,164,1.78,68,473,.203,8,0.09,26,0.28,148,1.61,480,25,7,18,25,0.27,206.0,2.2
Trine,Nathan Rebhorn,6,2,2,1,0.50,0,1,1.000,0,0.00,1,0.50,0,0.00,0,0,0,0,0,0.00,2.0,1.0
Trine,Jonah Lockard,7,1,1,0,0.00,0,0,-,0,0.00,1,1.00,0,0.00,0,0,0,0,0,0.00,1.0,1.0
Trine,Landon Henderson,8,4,3,0,0.00,0,0,-,0,0.00,2,0.50,0,0.00,0,0,0,0,0,0.00,2.0,0.5
Trine,Isaac Yape,9,1,1,1,1.00,1,2,.000,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00,1.0,1.0
Trine,Nick Woolley,10,4,3,0,0.00,2,4,-.500,14,3.50,0,0.00,0,0.00,0,0,0,0,0,0.00,0.0,0.0
Trine,Carter Steffgen,11,70,24,25,0.36,20,74,.068,25,0.36,18,0.26,45,0.64,63,2,0,4,4,0.06,45.0,0.6
Trine,Christian Jones,12,9,5,0,0.00,1,1,-1.000,0,0.00,3,0.33,2,0.22,4,1,0,0,0,0.00,3.0,0.3
Trine,DJ Vinson,13,25,10,12,0.48,9,41,.073,0,0.00,1,0.04,19,0.76,11,2,0,3,3,0.12,14.5,0.6
Trine,Ted Hofmeister,14,84,25,268,3.19,128,717,.195,14,0.17,13,0.15,189,2.25,489,16,10,19,29,0.35,300.5,3.6
Trine,Dominic Saenz,15,20,6,10,0.50,5,35,.143,96,4.80,2,0.10,12,0.60,3,0,1,6,7,0.35,16.0,0.8
Trine,Bryan Maida,16,69,25,0,0.00,0,4,.000,9,0.13,3,0.04,57,0.83,88,8,0,0,0,0.00,3.0,0.0
Trine,Sam Bhandal,17,87,26,23,0.26,3,71,.282,800,9.20,9,0.10,185,2.13,2,0,4,20,24,0.28,46.0,0.5
Trine,Matt Stillman,18,86,26,133,1.55,49,298,.282,6,0.07,4,0.05,26,0.30,3,0,23,53,76,0.88,186.5,2.2
Trine,Liam Northrup,19,19,8,26,1.37,3,39,.590,0,0.00,1,0.05,2,0.11,1,0,2,13,15,0.79,35.5,1.9
Trine,Kevin Boncaro,20,86,26,332,3.86,149,874,.209,4,0.05,29,0.34,220,2.56,3,0,15,38,53,0.62,395.0,4.6
Trine,Ethan McLenon,22,23,9,30,1.30,15,71,.211,2,0.09,4,0.17,13,0.57,1,0,5,14,19,0.83,46.0,2.0
Trine,Sam Buckingham,24,57,16,86,1.51,34,188,.277,2,0.04,1,0.02,13,0.23,2,0,10,22,32,0.56,108.0,1.9
Trine,Landon Barrow,25,12,6,10,0.83,2,16,.500,0,0.00,2,0.17,1,0.08,0,0,1,8,9,0.75,17.0,1.4
