Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set
Mount Union,Ray Campbell,3,23,8,0,0.00,0,0,0,1,0.04,0,0.00,6,0.26,2,13,0,0,0,0.00
Mount Union,Armour Aaron,4,98,27,2,0.02,2,11,.000,54,0.55,0,0.00,298,3.04,25,561,0,0,0,0.00
Mount Union,McClure Jack,5,76,22,211,2.78,72,443,.314,16,0.21,15,0.20,150,1.97,0,1,8,31,39.0,0.51
Mount Union,Hines Peyton,6,12,8,12,1.00,5,31,.226,0,0.00,2,0.17,8,0.67,0,0,3,3,6.0,0.50
Mount Union,Heeney Will,7,92,26,74,0.80,14,195,.308,901,9.79,16,0.17,130,1.41,1,5,11,14,25.0,0.27
Mount Union,Bowler Michael,8,94,26,128,1.36,41,291,.299,16,0.17,9,0.10,61,0.65,1,7,33,44,77.0,0.82
Mount Union,Ternent Cameron,9,93,26,337,3.62,79,705,.366,25,0.27,21,0.23,139,1.49,12,434,15,24,39.0,0.42
Mount Union,Weeg Camden,10,4,2,8,2.00,5,19,.158,0,0.00,0,0.00,7,1.75,3,19,0,0,0,0.00
Mount Union,Weeg Cameron,10,18,7,9,0.50,4,18,.278,1,0.06,1,0.06,5,0.28,0,13,2,0,2.0,0.11
Mount Union,Koknat Noah,11,6,4,11,1.83,2,26,.346,0,0.00,1,0.17,8,1.33,1,14,0,0,0,0.00
Mount Union,Heldt Louden,12,47,17,65,1.38,8,112,.509,14,0.30,4,0.09,33,0.70,0,8,7,13,20.0,0.43
Mount Union,Kaiser Max,16,10,6,5,0.50,0,10,.500,62,6.20,1,0.10,14,1.40,0,1,0,0,0,0.00
Mount Union,Cross Andrew,17,60,17,104,1.73,20,198,.424,3,0.05,0,0.00,10,0.17,1,8,24,38,62.0,1.03
Mount Union,Trzeciak Luke,18,96,27,251,2.61,128,604,.204,19,0.20,17,0.18,137,1.43,36,556,11,29,40.0,0.42
Mount Union,Nussdorfer Jacob,19,27,13,28,1.04,18,90,.111,2,0.07,2,0.07,8,0.30,0,3,2,3,5.0,0.19
Mount Union,Dole Lucas,20,2,2,1,0.50,4,5,-.600,1,0.50,1,0.50,6,3.00,1,8,0,0,0,0.00
Mount Union,Yarosh Jakob,21,29,13,10,0.34,4,22,.273,2,0.07,3,0.10,17,0.59,7,26,1,0,1.0,0.03
Mount Union,Owen Jonathon,24,36,12,1,0.03,1,2,.000,1,0.03,4,0.11,9,0.25,0,0,0,0,0,0.00
