Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set
Olivet,Sean Gooden,1,5,3,3,0.60,3,12,.000,0,0.00,0,0.00,1,0.20,1,0,0,0,0,0.00
Olivet,Jackson Arkles,2,3,2,0,0.00,0,0,-,0,0.00,0,0.00,2,0.67,1,0,0,0,0,0.00
Olivet,Dakota Galeazzi,3,81,23,4,0.05,5,31,-.032,29,0.36,13,0.16,149,1.84,304,35,0,2,2,0.02
Olivet,Deontay Thomas,5,66,19,165,2.50,101,513,.125,10,0.15,10,0.15,101,1.53,135,8,1,6,7,0.11
Olivet,Thayne Bilicki,6,79,23,44,0.56,36,157,.051,2,0.03,3,0.04,15,0.19,7,1,13,25,38,0.48
Olivet,Will Mensching,8,81,23,33,0.41,26,138,.051,22,0.27,27,0.33,98,1.21,207,15,0,0,0,0.00
Olivet,Kai Hartman,9,80,23,168,2.10,98,504,.139,31,0.39,18,0.23,146,1.82,332,26,5,6,11,0.14
Olivet,Quinn Dickerson,10,81,23,151,1.86,73,350,.223,5,0.06,8,0.10,27,0.33,8,0,21,31,52,0.64
Olivet,Ethan Valente,13,77,22,146,1.90,127,418,.045,8,0.10,17,0.22,46,0.60,6,0,5,20,25,0.32
Olivet,Everett Haynes,14,81,23,63,0.78,27,202,.178,604,7.46,20,0.25,184,2.27,16,2,7,25,32,0.40
Olivet,Declan Nowakowski,16,2,2,0,0.00,0,1,.000,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
Olivet,Brock Veltman,17,15,9,0,0.00,0,0,-,0,0.00,2,0.13,7,0.47,19,1,0,0,0,0.00
Olivet,Matthew Tollar,26,73,23,1,0.01,0,2,.500,17,0.23,1,0.01,52,0.71,206,30,0,0,0,0.00
Fontbonne,Logan Irby,3,62,18,100,1.61,29,224,.317,3,0.05,9,0.15,24,0.39,1,0,14,41,55,0.89
Fontbonne,Ryan Lively,4,92,24,235,2.55,118,630,.186,9,0.10,46,0.50,165,1.79,538,15,7,33,40,0.43
Fontbonne,Nate Paasch,5,59,16,124,2.10,78,430,.107,22,0.37,17,0.29,108,1.83,3,1,3,23,26,0.44
Fontbonne,Alex Gantt,6,85,23,14,0.16,8,75,.080,551,6.48,18,0.21,100,1.18,3,0,1,14,15,0.18
Fontbonne,Tengis Kelley,7,34,13,5,0.15,1,23,.174,108,3.18,10,0.29,19,0.56,0,0,0,1,1,0.03
Fontbonne,Nathan Rozanski,8,1,1,0,0.00,0,0,-,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
Fontbonne,Ryan Taylor,9,80,21,2,0.03,5,31,-.097,38,0.47,0,0.00,178,2.23,429,17,0,0,0,0.00
Fontbonne,Lee Kreutzman,10,43,13,61,1.42,35,180,.144,4,0.09,2,0.05,24,0.56,64,0,5,13,18,0.42
Fontbonne,Omari Cobb,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fontbonne,Tony Brooks,12,34,10,35,1.03,27,100,.080,2,0.06,0,0.00,17,0.50,2,0,2,14,16,0.47
Fontbonne,Nathan Rothweiler,13,11,3,13,1.18,5,31,.258,0,0.00,0,0.00,0,0.00,0,0,0,3,3,0.27
Fontbonne,Joseph Huster,14,72,19,141,1.96,44,275,.353,4,0.06,6,0.08,38,0.53,5,0,21,46,67,0.93
Fontbonne,Ayden Illingworth,18,6,2,3,0.50,3,12,.000,2,0.33,0,0.00,2,0.33,1,0,0,2,2,0.33
Fontbonne,Kyle Snook,19,73,22,1,0.01,2,10,-.100,13,0.18,8,0.11,92,1.26,155,9,0,0,0,0.00
Fontbonne,Ethan Jenkins,20,50,16,0,0.00,0,4,.000,6,0.12,2,0.04,55,1.10,74,10,0,0,0,0.00
Fontbonne,Demitrius Allen,21,49,15,12,0.24,7,39,.128,172,3.51,1,0.02,21,0.43,1,0,2,13,15,0.31
Fontbonne,Josh Blomberg,23,53,15,75,1.42,32,178,.242,2,0.04,4,0.08,10,0.19,1,0,12,36,48,0.91
Fontbonne,Cameron Graves,35,83,22,193,2.33,108,461,.184,9,0.11,9,0.11,96,1.16,427,14,5,13,18,0.22
